step,bot type,sender,recipient,accept?,number of sender sc,number of recipient sc
0,transparent,AUSTRIA,AUSTRIA,0,3,3
0,transparent,ENGLAND,AUSTRIA,0,3,3
0,transparent,FRANCE,AUSTRIA,0,3,3
0,transparent,ITALY,AUSTRIA,0,3,3
0,transparent,RUSSIA,AUSTRIA,0,4,3
0,transparent,TURKEY,AUSTRIA,0,3,3
0,transparent,AUSTRIA,ENGLAND,0,3,3
0,transparent,ENGLAND,ENGLAND,0,3,3
0,transparent,FRANCE,ENGLAND,0,3,3
0,transparent,ITALY,ENGLAND,0,3,3
0,transparent,RUSSIA,ENGLAND,0,4,3
0,transparent,TURKEY,ENGLAND,0,3,3
0,transparent,AUSTRIA,FRANCE,0,3,3
0,transparent,ENGLAND,FRANCE,0,3,3
0,transparent,FRANCE,FRANCE,0,3,3
0,transparent,ITALY,FRANCE,0,3,3
0,transparent,RUSSIA,FRANCE,0,4,3
0,transparent,TURKEY,FRANCE,0,3,3
0,transparent,AUSTRIA,GERMANY,0,3,3
0,transparent,ENGLAND,GERMANY,0,3,3
0,transparent,FRANCE,GERMANY,0,3,3
0,transparent,ITALY,GERMANY,0,3,3
0,transparent,RUSSIA,GERMANY,0,4,3
0,transparent,TURKEY,GERMANY,0,3,3
0,transparent,AUSTRIA,ITALY,0,3,3
0,transparent,ENGLAND,ITALY,0,3,3
0,transparent,FRANCE,ITALY,0,3,3
0,transparent,ITALY,ITALY,0,3,3
0,transparent,RUSSIA,ITALY,0,4,3
0,transparent,TURKEY,ITALY,0,3,3
0,transparent,AUSTRIA,RUSSIA,0,3,4
0,transparent,ENGLAND,RUSSIA,0,3,4
0,transparent,FRANCE,RUSSIA,0,3,4
0,transparent,ITALY,RUSSIA,0,3,4
0,transparent,RUSSIA,RUSSIA,0,4,4
0,transparent,TURKEY,RUSSIA,0,3,4
0,transparent,AUSTRIA,TURKEY,0,3,3
0,transparent,ENGLAND,TURKEY,0,3,3
0,transparent,FRANCE,TURKEY,0,3,3
0,transparent,ITALY,TURKEY,0,3,3
0,transparent,RUSSIA,TURKEY,0,4,3
0,transparent,TURKEY,TURKEY,0,3,3
1,transparent,AUSTRIA,AUSTRIA,0,3,3
1,transparent,ENGLAND,AUSTRIA,0,3,3
1,transparent,FRANCE,AUSTRIA,0,3,3
1,transparent,ITALY,AUSTRIA,0,3,3
1,transparent,RUSSIA,AUSTRIA,0,4,3
1,transparent,TURKEY,AUSTRIA,0,3,3
1,transparent,AUSTRIA,ENGLAND,0,3,3
1,transparent,ENGLAND,ENGLAND,0,3,3
1,transparent,FRANCE,ENGLAND,0,3,3
1,transparent,ITALY,ENGLAND,0,3,3
1,transparent,RUSSIA,ENGLAND,0,4,3
1,transparent,TURKEY,ENGLAND,0,3,3
1,transparent,AUSTRIA,FRANCE,0,3,3
1,transparent,ENGLAND,FRANCE,0,3,3
1,transparent,FRANCE,FRANCE,0,3,3
1,transparent,ITALY,FRANCE,0,3,3
1,transparent,RUSSIA,FRANCE,0,4,3
