step,bot type,power,number of sc,ally power,number of ally sc,enemy power,number of enemy sc
0,RL,AUSTRIA,3,,0,,0
0,transparent,ENGLAND,3,,0,,0
0,transparent,FRANCE,3,,0,,0
0,transparent,GERMANY,3,,0,,0
0,transparent,ITALY,3,,0,,0
0,transparent,RUSSIA,4,,0,,0
0,transparent,TURKEY,3,,0,,0
1,RL,AUSTRIA,3,,0,,0
1,transparent,ENGLAND,3,,0,,0
1,transparent,FRANCE,3,,0,,0
1,transparent,GERMANY,3,,0,,0
1,transparent,ITALY,3,,0,,0
1,transparent,RUSSIA,4,,0,,0
1,transparent,TURKEY,3,,0,,0
3,RL,AUSTRIA,3,,0,ITALY ,5
3,transparent,ENGLAND,4,,0,,0
3,transparent,FRANCE,5,,0,,0
3,transparent,GERMANY,5,,0,,0
3,transparent,ITALY,5,,0,,0
3,transparent,RUSSIA,7,,0,,0
3,transparent,TURKEY,4,,0,,0
5,RL,AUSTRIA,3,,0,ITALY RUSSIA ,12
5,transparent,ENGLAND,4,,0,FRANCE ,5
5,transparent,FRANCE,5,,0,,0
5,transparent,GERMANY,5,,0,,0
5,transparent,ITALY,5,,0,,0
5,transparent,RUSSIA,7,ENGLAND ,4,AUSTRIA GERMANY TURKEY ,12
5,transparent,TURKEY,4,,0,,0
7,RL,AUSTRIA,2,,0,ITALY RUSSIA ,14
7,transparent,ENGLAND,3,GERMANY RUSSIA ,14,,0
7,transparent,FRANCE,6,,0,ENGLAND GERMANY ,9
7,transparent,GERMANY,6,,0,FRANCE ,6
7,transparent,ITALY,6,,0,AUSTRIA RUSSIA ,10
7,transparent,RUSSIA,8,ENGLAND ,3,ITALY TURKEY ,9
7,transparent,TURKEY,3,,0,AUSTRIA ,2
9,RL,AUSTRIA,2,,0,ITALY RUSSIA ,14
9,transparent,ENGLAND,3,GERMANY RUSSIA ,14,FRANCE ,6
9,transparent,FRANCE,6,,0,ENGLAND GERMANY ,9
9,transparent,GERMANY,6,RUSSIA ,8,FRANCE ,6
9,transparent,ITALY,6,,0,RUSSIA ,8
